tbl,Year,quarter,mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,2006,3,87.41,34057,31884,"Portland, OR","Spokane, WA",19393,WN,34330,0.5900,80.44,75,0.4400,125,0.2500,0.0000,"Portland, OR
(45.516018, -122.681425)","Spokane, WA
(47.658999, -117.425022)",20063340573188419393WN
Table 5,1997,4,224.47,30721,30198,"Boston, MA (Metropolitan Area)","Pittsburgh, PA",20355,US,68280,0.9200,226.21,75,0.0700,400,0.2500,0.4200,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Pittsburgh, PA
(40.442169, -79.994945)",19974307213019820355US
Table 5,2003,1,234.32,31995,30852,"Greensboro/High Point, NC","Washington, DC (Metropolitan Area)",20355,US,11770,0.9800,234.92,100,0.1500,375,0.1100,0.3200,"Greensboro/High Point, NC
(36.072701, -79.793899)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20031319953085220355US
Table 5,1998,3,71.25,32467,33195,"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",19393,WN,75060,0.6400,65.54,75,0.9900,75,0.9900,0.0000,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",19983324673319519393WN
Table 5,1999,3,235.25,30713,30325,"Boise, ID","Denver, CO",19977,UA,13710,0.7800,239.90,125,0.0900,550,0.0600,0.1800,"Boise, ID
(43.597772, -83.884521)","Denver, CO
(39.738453, -104.984853)",19993307133032519977UA
Table 5,2006,3,235.98,30977,31995,"Chicago, IL","Greensboro/High Point, NC",19977,UA,12170,0.7700,239.12,100,0.0500,350,0.0800,0.2700,"Chicago, IL
(41.775002, -87.696388)","Greensboro/High Point, NC
(36.072701, -79.793899)",20063309773199519977UA
Table 5,2003,1,279.13,30529,34100,"Hartford, CT","Philadelphia, PA",20355,US,11690,0.9600,277.36,150,0.0500,425,0.0800,0.0100,"Hartford, CT
(41.765775, -72.673356)","Philadelphia, PA
(39.951061, -75.16562)",20031305293410020355US
Table 5,2002,3,243.17,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19704,CO,12390,0.1400,256.33,75,0.0900,300,0.0600,0.4700,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20023331053170319704CO
Table 5,1997,1,236.50,32337,31703,"Indianapolis, IN","New York City, NY (Metropolitan Area)",20355,US,24070,0.4100,242.76,125,0.1900,425,0.2100,0.3100,"Indianapolis, IN
(39.76845, -86.156212)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",19971323373170320355US
Table 5,1996,3,73.28,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",19805,AA,6090,0.1500,82.96,75,0.5000,150,0.0700,0.0016,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Midland/Odessa, TX
(31.997433, -102.078043)",19963301943315819805AA
Table 5,1998,3,253.94,30397,33105,"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",19790,DL,34720,0.9700,255.00,100,0.2600,425,0.2000,0.4600,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Cincinnati, OH
(39.104427, -84.513808)",19983303973310519790DL
Table 5,2013,2,264.17,30977,32070,"Chicago, IL","Harrisburg, PA",19977,UA,8910,0.5500,264.46,225,0.2700,375,0.0700,0.0011,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)",20132309773207019977UA
Table 5,2010,2,247.10,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",19790,DL,21650,0.7300,266.25,175,0.1300,325,0.0500,0.0200,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20102323373165019790DL
Table 5,2005,4,255.33,31295,32337,"Detroit, MI","Indianapolis, IN",19386,NW,15040,0.8000,281.28,100,0.1700,450,0.2500,0.5000,"Detroit, MI
(42.332916, -83.047853)","Indianapolis, IN
(39.76845, -86.156212)",20054312953233719386NW
Table 5,2010,1,268.79,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",19977,UA,4220,0.1300,317.55,150,0.0600,450,0.1100,0.2200,"Huntsville, AL
(34.729538, -86.585283)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20101302553085219977UA
Table 5,1996,1,263.93,30977,34576,"Chicago, IL","Rochester, NY",19977,UA,11700,0.5000,252.89,75,0.1100,425,0.1100,0.5200,"Chicago, IL
(41.775002, -87.696388)","Rochester, NY
(43.155708, -77.612547)",19961309773457619977UA
Table 5,2010,2,226.22,35096,30852,"Syracuse, NY","Washington, DC (Metropolitan Area)",19977,UA,3580,0.1600,281.51,75,0.0500,400,0.0500,0.6600,"Syracuse, NY
(43.047945, -76.147448)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20102350963085219977UA
Table 5,2004,2,98.31,30792,31703,"Buffalo, NY","New York City, NY (Metropolitan Area)",19704,CO,22320,0.1200,154.97,100,0.1900,200,0.1100,0.0300,"Buffalo, NY
(39.945422, -78.64671)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20042307923170319704CO
Table 5,2008,2,404.73,30397,33105,"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",19790,DL,15500,0.9300,416.87,150,0.0700,650,0.0500,0.3600,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Cincinnati, OH
(39.104427, -84.513808)",20082303973310519790DL
Table 5,2005,4,91.89,30466,33570,"Phoenix, AZ","San Diego, CA",19991,HP,43580,0.2600,95.80,75,0.3400,125,0.3000,0.0200,"Phoenix, AZ
(30.406931, -87.217578)","San Diego, CA
(32.71576, -117.163817)",20054304663357019991HP
Table 5,2008,2,239.95,30977,31995,"Chicago, IL","Greensboro/High Point, NC",19977,UA,13150,0.7400,252.92,100,0.0600,325,0.1000,0.2600,"Chicago, IL
(41.775002, -87.696388)","Greensboro/High Point, NC
(36.072701, -79.793899)",20082309773199519977UA
Table 5,2014,2,329.25,30977,33105,"Chicago, IL","Cincinnati, OH",19977,UA,10550,0.3400,312.37,150,0.0600,500,0.1200,0.2300,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)",20142309773310519977UA
Table 5,2001,3,255.54,30325,34653,"Denver, CO","Tulsa, OK",19977,UA,10950,0.7100,277.47,100,0.0500,600,0.1000,0.3000,"Denver, CO
(39.738453, -104.984853)","Tulsa, OK
(61.096484, -160.967455)",20013303253465319977UA
Table 5,1996,1,65.29,33198,31123,"Kansas City, MO","St. Louis, MO",19393,WN,24390,0.4100,58.04,75,0.9900,75,0.9900,0.0004,"Kansas City, MO
(39.099792, -94.578559)","St. Louis, MO
(38.630276, -90.200309)",19961331983112319393WN
Table 5,2014,2,274.90,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",19805,AA,2870,0.1200,265.18,175,0.2300,375,0.0500,0.0800,"Knoxville, TN
(35.962631, -83.916677)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20142354123170319805AA
Table 5,2002,4,237.62,31057,31295,"Charlotte, NC","Detroit, MI",19386,NW,12510,0.5200,261.00,100,0.0900,525,0.0500,0.3500,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)",20024310573129519386NW
Table 5,2004,4,252.51,30198,30852,"Pittsburgh, PA","Washington, DC (Metropolitan Area)",19977,UA,6540,0.2500,128.39,75,0.3300,150,0.0900,0.1300,"Pittsburgh, PA
(40.442169, -79.994945)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20044301983085219977UA
Table 5,1996,2,69.59,32211,30436,"Las Vegas, NV","Tucson, AZ",19991,HP,5200,0.2100,89.35,75,0.5800,150,0.0500,0.0077,"Las Vegas, NV
(36.169202, -115.140597)","Tucson, AZ
(35.167852, -103.726151)",19962322113043619991HP
Table 5,2014,3,274.60,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",20355,US,5620,0.2100,239.37,75,0.1900,500,0.0800,0.4600,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charlotte, NC
(35.222936, -80.840161)",20143303973105720355US
Table 5,1996,2,83.44,30599,33495,"Birmingham, AL","New Orleans, LA",19393,WN,16940,0.9500,81.08,100,1.0000,100,1.0000,0.0000,"Birmingham, AL
(33.522859, -86.807705)","New Orleans, LA
(29.950621, -90.074948)",19962305993349519393WN
Table 5,2012,4,117.06,30325,34614,"Denver, CO","Salt Lake City, UT",20436,F9,35850,0.2900,101.93,75,0.2400,150,0.1500,0.0100,"Denver, CO
(39.738453, -104.984853)","Salt Lake City, UT
(40.758478, -111.888142)",20124303253461420436F9
Table 5,2018,3,130.92,30325,32211,"Denver, CO","Las Vegas, NV",19393,WN,58490,0.2773,131.38,75,0.0957,175,0.0774,0.0983,,,20183303253221119393WN
Table 5,2018,3,130.92,30325,32211,"Denver, CO","Las Vegas, NV",19977,UA,23840,0.1130,160.69,75,0.1128,350,0.0638,0.1841,,,20183303253221119977UA
Table 5,2018,3,139.47,30325,33316,"Denver, CO","Omaha, NE",19393,WN,14550,0.2265,147.51,100,0.1924,300,0.0564,0.0034,,,20183303253331619393WN
Table 5,2018,3,139.47,30325,33316,"Denver, CO","Omaha, NE",19977,UA,13680,0.2129,153.65,75,0.0512,275,0.0702,0.1681,,,20183303253331619977UA
Table 5,2018,3,271.45,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19790,DL,9580,0.2652,275.49,150,0.0522,375,0.0595,0.0115,,,20183303973105719790DL
Table 5,2018,3,271.45,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19805,AA,8150,0.2256,267.78,175,0.0969,375,0.0613,0.0245,,,20183303973105719805AA
Table 5,2000,1,254.72,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19790,DL,4910,0.1500,245.36,75,0.1400,500,0.0500,0.4500,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20001330443170319790DL
Table 5,1996,4,79.10,30647,31123,"Cleveland, OH (Metropolitan Area)","St. Louis, MO",19393,WN,20830,0.4400,62.58,75,0.6900,100,0.3000,0.0000,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","St. Louis, MO
(38.630276, -90.200309)",19964306473112319393WN
Table 5,1996,4,76.33,30194,33214,"Dallas/Fort Worth, TX","San Antonio, TX",19393,WN,80700,0.6800,71.99,75,1.0000,75,1.0000,0.0000,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","San Antonio, TX
(29.425173, -98.494599)",19964301943321419393WN
Table 5,1996,1,81.80,30977,31123,"Chicago, IL","St. Louis, MO",20211,TW,53580,0.3800,84.09,75,0.6700,125,0.0800,0.0100,"Chicago, IL
(41.775002, -87.696388)","St. Louis, MO
(38.630276, -90.200309)",19961309773112320211TW
Table 5,2004,3,88.77,30140,30466,"Albuquerque, NM","Phoenix, AZ",19393,WN,58440,0.8000,88.48,75,0.2800,125,0.4800,0.0010,"Albuquerque, NM
(35.084248, -106.649241)","Phoenix, AZ
(30.406931, -87.217578)",20043301403046619393WN
Table 5,2010,3,229.00,30194,33316,"Dallas/Fort Worth, TX","Omaha, NE",19805,AA,23680,0.8300,232.34,150,0.0700,350,0.0600,0.0200,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Omaha, NE
(46.07035, -93.666319)",20103301943331619805AA
Table 5,2007,2,250.32,31066,31650,"Columbus, OH","Minneapolis/St. Paul, MN",19805,AA,3580,0.1200,175.34,125,0.2000,225,0.0600,0.0500,"Columbus, OH
(39.962649, -82.996216)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20072310663165019805AA
Table 5,2015,2,295.25,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",19790,DL,4430,0.1400,283.74,175,0.0900,375,0.0800,0.0400,"Huntsville, AL
(34.729538, -86.585283)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20152302553085219790DL
Table 5,1997,2,71.07,30559,31884,"Seattle, WA","Spokane, WA",19393,WN,17480,0.2100,65.50,75,1.0000,75,1.0000,0.0000,"Seattle, WA
(47.603229, -122.33028)","Spokane, WA
(47.658999, -117.425022)",19972305593188419393WN
Table 5,2015,2,385.61,31295,34100,"Detroit, MI","Philadelphia, PA",19790,DL,11220,0.2700,369.52,100,0.0500,700,0.0600,0.5100,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)",20152312953410019790DL
Table 5,2007,3,98.82,31703,34576,"New York City, NY (Metropolitan Area)","Rochester, NY",20355,US,12470,0.1400,114.12,75,0.2700,150,0.1200,0.0500,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Rochester, NY
(43.155708, -77.612547)",20073317033457620355US
Table 5,1997,4,71.46,33198,30693,"Kansas City, MO","Nashville, TN",19393,WN,27700,0.8800,63.96,75,0.6200,100,0.3700,0.0000,"Kansas City, MO
(39.099792, -94.578559)","Nashville, TN
(36.166687, -86.779932)",19974331983069319393WN
Table 5,2006,3,331.05,30397,33044,"Atlanta, GA (Metropolitan Area)","Louisville, KY",19790,DL,13730,0.8900,340.62,175,0.1900,725,0.0500,0.1600,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Louisville, KY
(38.256078, -85.751569)",20063303973304419790DL
Table 5,1997,4,78.42,30423,31453,"Austin, TX","Houston, TX",19393,WN,67880,0.8100,75.42,75,0.3400,100,0.6500,0.0000,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",19974304233145319393WN
Table 5,2007,4,289.32,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",20355,US,10720,0.7000,314.83,150,0.0600,475,0.0500,0.1600,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20074354123085220355US
Table 5,1997,4,70.17,34570,32457,"Reno, NV","San Francisco, CA (Metropolitan Area)",19977,UA,18460,0.2500,80.74,75,0.3200,100,0.6300,0.0027,"Reno, NV
(30.177159, -95.162771)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",19974345703245719977UA
Table 5,2011,3,112.02,30140,30325,"Albuquerque, NM","Denver, CO",20436,F9,18230,0.3100,95.25,75,0.4400,175,0.0800,0.0088,"Albuquerque, NM
(35.084248, -106.649241)","Denver, CO
(39.738453, -104.984853)",20113301403032520436F9
Table 5,2006,1,86.15,30559,31884,"Seattle, WA","Spokane, WA",19393,WN,31900,0.2500,79.81,75,0.4200,100,0.5700,0.0000,"Seattle, WA
(47.603229, -122.33028)","Spokane, WA
(47.658999, -117.425022)",20061305593188419393WN
Table 5,2018,3,283.97,30397,33044,"Atlanta, GA (Metropolitan Area)","Louisville, KY",19790,DL,12430,0.4705,294.94,125,0.0756,500,0.1432,0.3025,,,20183303973304419790DL
Table 5,2014,4,289.07,31295,30529,"Detroit, MI","Hartford, CT",20355,US,2960,0.1400,230.41,175,0.1600,300,0.0700,0.0100,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)",20144312953052920355US
Table 5,1996,1,73.67,34570,33570,"Reno, NV","San Diego, CA",19994,QQ,19260,0.5200,80.51,75,0.4800,125,0.0700,0.0010,"Reno, NV
(30.177159, -95.162771)","San Diego, CA
(32.71576, -117.163817)",19961345703357019994QQ
Table 5,2013,1,285.04,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",19790,DL,20090,0.8300,291.43,175,0.2100,550,0.0600,0.0800,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20131323373165019790DL
Table 5,2015,1,100.15,32945,34761,"Lexington, KY","Sanford, FL",20368,G4,6670,0.4700,100.60,75,0.4500,175,0.0600,0.0300,"Lexington, KY
(34.052238, -118.243344)","Sanford, FL
(37.78008, -122.420168)",20151329453476120368G4
Table 5,1999,4,251.41,30397,33044,"Atlanta, GA (Metropolitan Area)","Louisville, KY",19790,DL,26440,0.9600,253.30,100,0.0500,400,0.2100,0.4500,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Louisville, KY
(38.256078, -85.751569)",19994303973304419790DL
Table 5,1998,3,233.05,31295,33244,"Detroit, MI","Memphis, TN",19790,DL,3670,0.2100,180.15,100,0.1100,250,0.0600,0.0900,"Detroit, MI
(42.332916, -83.047853)","Memphis, TN
(35.143378, -90.052136)",19983312953324419790DL
Table 5,2002,2,77.62,34570,32457,"Reno, NV","San Francisco, CA (Metropolitan Area)",19393,WN,59020,0.8700,70.98,75,0.5400,100,0.4500,0.0000,"Reno, NV
(30.177159, -95.162771)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20022345703245719393WN
Table 5,2000,3,287.26,33342,31123,"Milwaukee, WI","St. Louis, MO",20211,TW,12500,0.8400,289.53,100,0.1200,475,0.2100,0.5600,"Milwaukee, WI
(43.041072, -87.909421)","St. Louis, MO
(38.630276, -90.200309)",20003333423112320211TW
Table 5,2011,1,293.02,35096,30852,"Syracuse, NY","Washington, DC (Metropolitan Area)",20355,US,10770,0.7000,287.46,125,0.1600,625,0.0500,0.2700,"Syracuse, NY
(43.047945, -76.147448)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20111350963085220355US
Table 5,1997,1,247.32,33105,31295,"Cincinnati, OH","Detroit, MI",19790,DL,4100,0.3100,249.86,100,0.0500,300,0.4400,0.0400,"Cincinnati, OH
(39.104427, -84.513808)","Detroit, MI
(42.332916, -83.047853)",19971331053129519790DL
Table 5,2014,4,270.07,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19805,AA,6000,0.1900,240.56,125,0.1300,525,0.0500,0.1900,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)",20144317033366719805AA
Table 5,2001,2,276.22,30198,30852,"Pittsburgh, PA","Washington, DC (Metropolitan Area)",20355,US,37990,0.9800,277.64,75,0.0600,425,0.0800,0.6900,"Pittsburgh, PA
(40.442169, -79.994945)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20012301983085220355US
Table 5,2007,2,98.67,30194,34653,"Dallas/Fort Worth, TX","Tulsa, OK",19393,WN,45890,0.6700,93.31,75,0.3000,125,0.5100,0.0007,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Tulsa, OK
(61.096484, -160.967455)",20072301943465319393WN
Table 5,1999,4,230.09,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",19393,WN,4650,0.1000,196.28,150,0.1900,275,0.2600,0.0022,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Nashville, TN
(36.166687, -86.779932)",19994301943069319393WN
Table 5,2002,2,79.33,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",19991,HP,97500,0.2300,92.73,75,0.3600,175,0.0500,0.0300,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Phoenix, AZ
(30.406931, -87.217578)",20022325753046619991HP
Table 5,2009,2,253.13,31453,33244,"Houston, TX","Memphis, TN",19386,NW,3250,0.2000,220.21,125,0.0700,225,0.1300,0.1800,"Houston, TX
(29.760803, -95.369506)","Memphis, TN
(35.143378, -90.052136)",20092314533324419386NW
Table 5,2002,2,241.50,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19704,CO,9660,0.1000,275.97,100,0.1300,550,0.0600,0.4200,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20022331053170319704CO
Table 5,2009,2,96.38,33570,32457,"San Diego, CA","San Francisco, CA (Metropolitan Area)",21171,VX,64360,0.1000,84.25,75,0.6200,175,0.0600,0.0070,"San Diego, CA
(32.71576, -117.163817)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20092335703245721171VX
Table 5,2001,1,253.98,30721,30647,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",20355,US,9820,0.1800,170.44,100,0.0900,175,0.1600,0.1200,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)",20011307213064720355US
Table 5,2000,2,247.71,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19790,DL,10680,0.1900,207.73,125,0.2800,350,0.1800,0.0028,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)",20002317033452419790DL
Table 5,2007,2,224.54,30977,34524,"Chicago, IL","Richmond, VA",19977,UA,15930,0.4900,245.12,125,0.1400,325,0.1000,0.1400,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)",20072309773452419977UA
Table 5,2001,1,215.16,34492,31123,"Raleigh/Durham, NC","St. Louis, MO",19393,WN,5340,0.2800,142.62,100,0.1100,200,0.2600,0.0037,"Raleigh/Durham, NC
(42.673348, -72.179683)","St. Louis, MO
(38.630276, -90.200309)",20011344923112319393WN
Table 5,2004,2,81.85,33570,30436,"San Diego, CA","Tucson, AZ",19393,WN,38610,0.9400,79.50,75,0.4100,100,0.5700,0.0003,"San Diego, CA
(32.71576, -117.163817)","Tucson, AZ
(35.167852, -103.726151)",20042335703043619393WN
Table 5,2001,2,240.25,30397,32600,"Atlanta, GA (Metropolitan Area)","Little Rock, AR",19790,DL,14860,0.8700,245.96,75,0.0500,475,0.0500,0.5200,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Little Rock, AR
(34.748745, -92.275105)",20012303973260019790DL
Table 5,1998,3,78.68,30647,30693,"Cleveland, OH (Metropolitan Area)","Nashville, TN",19393,WN,30520,0.7000,69.98,75,0.5600,100,0.4100,0.0000,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Nashville, TN
(36.166687, -86.779932)",19983306473069319393WN
Table 5,1997,1,76.52,32211,34570,"Las Vegas, NV","Reno, NV",19393,WN,29560,0.5700,76.49,100,1.0000,100,1.0000,0.0000,"Las Vegas, NV
(36.169202, -115.140597)","Reno, NV
(30.177159, -95.162771)",19971322113457019393WN
Table 5,2014,3,260.83,31057,30693,"Charlotte, NC","Nashville, TN",20355,US,12200,0.4200,273.60,150,0.0800,350,0.2300,0.0500,"Charlotte, NC
(35.222936, -80.840161)","Nashville, TN
(36.166687, -86.779932)",20143310573069320355US
Table 5,2007,3,99.28,30713,34570,"Boise, ID","Reno, NV",19393,WN,16110,0.9600,97.57,100,0.5400,125,0.4000,0.0000,"Boise, ID
(43.597772, -83.884521)","Reno, NV
(30.177159, -95.162771)",20073307133457019393WN
Table 5,2006,1,99.97,30194,33214,"Dallas/Fort Worth, TX","San Antonio, TX",19393,WN,129860,0.7400,96.44,75,0.2700,125,0.5400,0.0013,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","San Antonio, TX
(29.425173, -98.494599)",20061301943321419393WN
Table 5,1998,1,308.48,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",19790,DL,7200,0.4200,302.19,100,0.0700,500,0.2500,0.5000,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",19981331053165019790DL
Table 5,1998,1,244.42,30977,33244,"Chicago, IL","Memphis, TN",19977,UA,17040,0.5300,251.86,100,0.0900,375,0.3200,0.5000,"Chicago, IL
(41.775002, -87.696388)","Memphis, TN
(35.143378, -90.052136)",19981309773324419977UA
Table 5,2011,4,115.33,32211,33570,"Las Vegas, NV","San Diego, CA",20416,NK,15570,0.1100,73.80,75,0.6300,100,0.3400,0.0006,"Las Vegas, NV
(36.169202, -115.140597)","San Diego, CA
(32.71576, -117.163817)",20114322113357020416NK
Table 5,2007,4,92.88,30713,30559,"Boise, ID","Seattle, WA",19930,AS,45530,0.5300,99.03,75,0.2500,150,0.1700,0.0035,"Boise, ID
(43.597772, -83.884521)","Seattle, WA
(47.603229, -122.33028)",20074307133055919930AS
Table 5,2009,1,99.26,30792,30977,"Buffalo, NY","Chicago, IL",19393,WN,21690,0.5000,90.23,75,0.5600,175,0.1100,0.0014,"Buffalo, NY
(39.945422, -78.64671)","Chicago, IL
(41.775002, -87.696388)",20091307923097719393WN
Table 5,1996,4,82.02,30466,34570,"Phoenix, AZ","Reno, NV",19991,HP,19080,0.4600,92.37,75,0.5000,125,0.2700,0.0100,"Phoenix, AZ
(30.406931, -87.217578)","Reno, NV
(30.177159, -95.162771)",19964304663457019991HP
Table 5,1997,1,69.86,34057,31884,"Portland, OR","Spokane, WA",19687,QX,8410,0.3600,74.00,75,0.8400,100,0.0700,0.0036,"Portland, OR
(45.516018, -122.681425)","Spokane, WA
(47.658999, -117.425022)",19971340573188419687QX
Table 5,2008,4,234.68,30994,30852,"Charleston, SC","Washington, DC (Metropolitan Area)",19977,UA,4010,0.1000,276.28,125,0.2000,525,0.1100,0.2100,"Charleston, SC
(32.77647, -79.931027)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20084309943085219977UA
Table 5,2008,1,221.20,31057,32337,"Charlotte, NC","Indianapolis, IN",20355,US,11980,0.6200,267.16,100,0.0700,300,0.0800,0.2900,"Charlotte, NC
(35.222936, -80.840161)","Indianapolis, IN
(39.76845, -86.156212)",20081310573233720355US
Table 5,2015,3,91.64,30977,35356,"Chicago, IL","Trenton, NJ",20436,F9,9950,0.4400,92.47,75,0.3300,150,0.1400,0.0010,"Chicago, IL
(41.775002, -87.696388)","Trenton, NJ
(40.220572, -74.759709)",20153309773535620436F9
Table 5,2009,3,97.69,30325,33316,"Denver, CO","Omaha, NE",20436,F9,27970,0.3600,95.02,75,0.4600,150,0.0800,0.0100,"Denver, CO
(39.738453, -104.984853)","Omaha, NE
(46.07035, -93.666319)",20093303253331620436F9
Table 5,2010,1,249.94,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",-1,NW,2560,0.1100,242.58,125,0.0500,500,0.0500,0.1100,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",201013064731650-1NW
Table 5,2014,2,93.54,32211,34716,"Las Vegas, NV","Stockton, CA",20368,G4,19330,1.0000,93.54,75,0.3600,175,0.0800,0.0000,"Las Vegas, NV
(36.169202, -115.140597)","Stockton, CA
(37.957541, -121.292451)",20142322113471620368G4
Table 5,1998,1,258.27,30397,30198,"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",20355,US,16370,0.4500,244.73,100,0.0600,450,0.1800,0.3800,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Pittsburgh, PA
(40.442169, -79.994945)",19981303973019820355US
Table 5,2000,4,238.40,30721,30198,"Boston, MA (Metropolitan Area)","Pittsburgh, PA",20355,US,79820,0.9400,240.98,75,0.0800,475,0.1500,0.3900,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Pittsburgh, PA
(40.442169, -79.994945)",20004307213019820355US
Table 5,2004,2,88.31,32211,32575,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",19991,HP,119630,0.2000,96.38,75,0.3200,125,0.0500,0.0200,"Las Vegas, NV
(36.169202, -115.140597)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",20042322113257519991HP
Table 5,2011,2,114.90,30325,33316,"Denver, CO","Omaha, NE",20436,F9,27490,0.4000,106.53,75,0.2400,175,0.1500,0.0100,"Denver, CO
(39.738453, -104.984853)","Omaha, NE
(46.07035, -93.666319)",20112303253331620436F9
